budget_pct,n_selected,incremental_gain_uplift,incremental_gain_random_mean,incremental_gain_random_std,improvement_pct
5.0,2500,140.20915032679738,32.97590962179406,19.56660429992822,325.18660420555
10.0,5001,187.97768924302795,78.32572222402658,28.072367215277488,139.99483682432668
20.0,10002,323.44402615415083,172.0654653052373,26.5638779747446,87.97730595176317
30.0,15003,416.18199841395744,242.6424756871333,53.890379232916175,71.52066934504431
40.0,20004,530.4896675651398,321.9758283882719,45.735631248384365,64.76071207600724
50.0,25005,614.1600866634572,427.42353589117954,57.47187379269626,43.68887885009216
75.0,37507,781.7375657965422,626.4199821993577,55.40781711261969,24.79448102084246
100.0,50010,831.065560663601,831.065560663601,0.0,0.0
